station,date,hour,pwv_rad,pwv_ours,pwv_gpt3
wuh2,2019-03-16,0,13.391,14.102,14.046
wuh2,2019-03-17,0,11.489,16.018,15.962
wuh2,2019-03-18,0,18.579,20.314,20.252
wuh2,2019-03-19,0,18.862,14.034,13.998
wuh2,2019-03-20,0,39.470,33.404,33.333
wuh2,2019-03-21,0,33.440,29.382,29.334
wuh2,2019-03-22,0,24.730,26.140,26.110
wuh2,2019-03-23,0,15.075,19.701,19.688
wuh2,2019-03-24,0,18.142,21.884,21.879
wuh2,2019-03-25,0,10.155,16.459,16.464
wuh2,2019-03-26,0,13.802,19.403,19.418
wuh2,2019-03-27,0,39.036,38.207,38.254
wuh2,2019-03-28,0,25.751,33.145,33.203
wuh2,2019-03-29,0,13.645,18.512,18.553
wuh2,2019-03-30,0,24.967,26.302,26.373
wuh2,2019-03-31,0,16.689,21.874,21.944
wuh2,2019-04-01,0,6.361,12.741,12.574
wuh2,2019-04-05,0,18.863,15.633,15.458
wuh2,2019-04-06,0,18.123,15.898,15.728
wuh2,2019-04-07,0,19.027,15.392,15.235
wuh2,2019-04-08,0,25.465,20.313,20.116
wuh2,2019-04-09,0,51.958,44.084,43.676
wuh2,2019-04-10,0,23.707,27.780,27.537
wuh2,2019-04-11,0,20.260,23.908,23.709
wuh2,2019-04-12,0,20.113,18.021,17.880
wuh2,2019-04-13,0,34.611,32.651,32.411
wuh2,2019-04-14,0,30.473,32.515,32.291
wuh2,2019-04-15,0,19.760,20.894,20.760
wuh2,2019-04-16,0,23.244,21.031,20.906
wuh2,2019-04-17,0,17.606,15.029,14.946
wuh2,2019-04-19,0,48.482,39.130,38.952
wuh2,2019-04-20,0,37.965,35.828,35.681
wuh2,2019-04-21,0,48.363,46.931,46.761
wuh2,2019-04-22,0,42.215,41.905,41.772
wuh2,2019-04-23,0,37.268,36.882,36.782
wuh2,2019-04-24,0,36.584,35.142,35.063
wuh2,2019-04-25,0,34.790,34.572,34.510
wuh2,2019-04-26,0,29.574,33.008,32.964
wuh2,2019-04-27,0,30.300,33.304,33.275
wuh2,2019-04-28,0,40.870,46.546,46.526
wuh2,2019-04-29,0,41.010,42.712,42.712
wuh2,2019-04-30,0,27.708,23.849,23.859
wuh2,2019-05-01,0,18.821,20.741,20.463
wuh2,2019-05-02,0,24.638,25.486,25.154
wuh2,2019-05-03,0,21.326,21.506,21.236
wuh2,2019-05-04,0,33.434,34.950,34.525
wuh2,2019-05-05,0,40.228,38.978,38.521
wuh2,2019-05-06,0,37.651,37.490,37.067
wuh2,2019-05-07,0,27.205,27.925,27.622
wuh2,2019-05-08,0,25.193,28.777,28.476
wuh2,2019-05-09,0,23.224,24.235,23.992
wuh2,2019-05-10,0,24.894,23.101,22.879
wuh2,2019-05-11,0,26.861,23.148,22.935
wuh2,2019-05-12,0,33.936,31.652,31.374
wuh2,2019-05-13,0,41.980,42.125,41.772
wuh2,2019-05-14,0,44.165,44.166,43.814
wuh2,2019-05-15,0,51.436,59.732,59.280
wuh2,2019-05-16,0,38.029,47.123,46.785
wuh2,2019-05-18,0,39.189,34.480,34.260
wuh2,2019-05-19,0,57.324,55.817,55.482
wuh2,2019-05-20,0,32.530,35.331,35.133
wuh2,2019-05-21,0,25.618,26.361,26.224
wuh2,2019-05-22,0,17.345,15.970,15.893
wuh2,2019-05-23,0,17.481,15.269,15.201
wuh2,2019-05-24,0,32.500,31.470,31.341
wuh2,2019-05-25,0,56.364,55.676,55.469
wuh2,2019-05-26,0,50.786,53.602,53.423
wuh2,2019-05-27,0,34.435,28.070,27.987
wuh2,2019-05-28,0,35.319,36.367,36.272
wuh2,2019-05-29,0,43.089,43.807,43.709
wuh2,2019-05-30,0,49.546,51.841,51.743
wuh2,2019-05-31,0,39.065,39.714,39.653
wuh2,2019-06-01,0,40.474,40.579,39.956
wuh2,2019-06-02,0,30.645,29.286,28.846
wuh2,2019-06-03,0,32.569,23.841,23.491
wuh2,2019-06-04,0,32.632,27.098,26.710
wuh2,2019-06-05,0,38.975,36.553,36.041
wuh2,2019-06-06,0,46.303,44.158,43.553
wuh2,2019-06-07,0,43.959,42.816,42.244
wuh2,2019-06-08,0,56.710,56.726,55.985
wuh2,2019-06-10,0,58.767,49.745,49.127
wuh2,2019-06-11,0,41.392,39.679,39.198
wuh2,2019-06-12,0,50.396,45.694,45.154
wuh2,2019-06-13,0,43.912,42.232,41.746
wuh2,2019-06-14,0,25.785,24.071,23.801
wuh2,2019-06-15,0,29.436,25.946,25.662
wuh2,2019-06-16,0,55.464,54.007,53.433
wuh2,2019-06-18,0,65.543,73.272,72.534
wuh2,2019-06-19,0,69.179,69.887,69.202
wuh2,2019-06-20,0,73.522,68.021,67.372
wuh2,2019-06-21,0,59.751,73.298,72.618
wuh2,2019-06-22,0,70.689,70.662,70.024
wuh2,2019-06-23,0,39.971,32.142,31.861
wuh2,2019-06-24,0,31.919,28.441,28.199
wuh2,2019-06-25,0,47.627,47.943,47.546
wuh2,2019-06-26,0,48.297,45.968,45.599
wuh2,2019-06-27,0,56.579,54.672,54.245
wuh2,2019-06-28,0,71.701,70.197,69.666
wuh2,2019-06-29,0,69.558,68.260,67.758
wuh2,2019-06-30,0,53.953,52.094,51.722
wuh2,2019-07-01,0,53.002,46.800,46.093
wuh2,2019-07-02,0,42.269,41.302,40.686
wuh2,2019-07-03,0,53.114,49.944,49.209
wuh2,2019-07-04,0,63.879,63.097,62.181
wuh2,2019-07-05,0,54.823,55.378,54.585
wuh2,2019-07-06,0,46.909,41.726,41.135
wuh2,2019-07-07,0,43.688,35.906,35.404
wuh2,2019-07-08,0,51.897,53.577,52.836
wuh2,2019-07-09,0,56.543,57.214,56.433
wuh2,2019-07-10,0,42.424,44.470,43.870
wuh2,2019-07-11,0,46.111,43.542,42.961
wuh2,2019-07-12,0,63.095,63.799,62.956
wuh2,2019-07-14,0,42.633,36.347,35.876
wuh2,2019-07-15,0,37.738,35.841,35.382
wuh2,2019-07-16,0,58.637,60.605,59.835
wuh2,2019-07-17,0,73.745,71.068,70.173
wuh2,2019-07-18,0,70.899,71.689,70.794
wuh2,2019-07-19,0,68.155,60.934,60.178
wuh2,2019-07-20,0,61.308,53.709,53.048
wuh2,2019-07-21,0,66.326,64.333,63.545
wuh2,2019-07-22,0,75.450,66.971,66.156
wuh2,2019-07-23,0,68.848,66.602,65.796
wuh2,2019-07-24,0,68.592,64.859,64.077
wuh2,2019-07-26,0,66.445,63.732,62.970
wuh2,2019-07-27,0,54.413,53.518,52.880
wuh2,2019-07-28,0,59.938,56.696,56.021
wuh2,2019-07-29,0,61.053,58.299,57.606
wuh2,2019-07-30,0,60.144,59.977,59.264
wuh2,2019-07-31,0,63.116,56.949,56.273
wuh2,2019-08-01,0,55.677,55.091,54.554
wuh2,2019-08-02,0,61.615,58.221,57.653
wuh2,2019-08-04,0,58.512,51.987,51.478
wuh2,2019-08-05,0,60.453,54.791,54.251
wuh2,2019-08-06,0,58.608,55.848,55.295
wuh2,2019-08-07,0,59.962,58.071,57.492
wuh2,2019-08-08,0,63.553,60.514,59.907
wuh2,2019-08-09,0,53.617,48.858,48.363
wuh2,2019-08-10,0,54.762,45.992,45.523
wuh2,2019-08-11,0,45.515,41.000,40.578
wuh2,2019-08-12,0,48.536,43.165,42.716
wuh2,2019-08-13,0,50.652,43.248,42.794
wuh2,2019-08-14,0,55.595,51.688,51.138
wuh2,2019-08-16,0,36.529,34.316,33.941
wuh2,2019-08-17,0,40.792,36.231,35.830
wuh2,2019-08-18,0,52.371,51.788,51.207
wuh2,2019-08-19,0,41.831,34.438,34.046
wuh2,2019-08-20,0,46.729,39.659,39.200
wuh2,2019-08-21,0,48.704,48.616,48.044
wuh2,2019-08-22,0,52.815,52.878,52.246
wuh2,2019-08-23,0,61.697,61.574,60.825
wuh2,2019-08-24,0,56.732,57.326,56.616
wuh2,2019-08-25,0,48.736,50.181,49.548
wuh2,2019-08-26,0,67.559,64.243,63.418
wuh2,2019-08-27,0,60.073,54.499,53.786
wuh2,2019-08-28,0,59.207,70.491,69.550
wuh2,2019-08-29,0,48.230,40.998,40.440
wuh2,2019-08-30,0,27.176,25.037,24.690
wuh2,2019-08-31,0,28.817,27.342,26.955
wuh2,2019-09-02,0,41.883,48.018,48.142
wuh2,2019-09-03,0,41.284,39.782,39.872
wuh2,2019-09-04,0,38.965,36.099,36.169
wuh2,2019-09-05,0,47.099,46.169,46.243
wuh2,2019-09-06,0,38.851,34.253,34.296
wuh2,2019-09-07,0,29.250,24.303,24.325
wuh2,2019-09-08,0,40.250,30.181,30.198
wuh2,2019-09-09,0,48.199,32.289,32.295
wuh2,2019-09-11,0,52.993,52.790,52.759
wuh2,2019-09-12,0,50.896,48.117,48.069
wuh2,2019-09-13,0,53.045,46.821,46.756
wuh2,2019-09-14,0,53.441,55.457,55.357
wuh2,2019-09-15,0,47.392,54.723,54.602
wuh2,2019-09-16,0,48.483,50.779,50.645
wuh2,2019-09-17,0,46.925,51.167,51.009
wuh2,2019-09-18,0,57.553,58.297,58.090
wuh2,2019-09-19,0,43.159,40.337,40.177
wuh2,2019-09-20,0,38.163,37.634,37.467
wuh2,2019-09-21,0,29.181,24.360,24.241
wuh2,2019-09-23,0,19.618,19.414,19.300
wuh2,2019-09-24,0,21.248,18.461,18.344
wuh2,2019-09-25,0,36.319,32.934,32.708
wuh2,2019-09-27,0,22.019,22.066,21.892
wuh2,2019-09-28,0,29.428,25.335,25.122
wuh2,2019-09-29,0,23.438,22.330,22.131
wuh2,2019-09-30,0,26.550,22.204,21.994
wuh2,2019-10-01,0,30.787,17.090,17.184
wuh2,2019-10-02,0,36.013,30.525,30.677
wuh2,2019-10-03,0,40.828,33.230,33.377
wuh2,2019-10-04,0,46.687,36.514,36.656
wuh2,2019-10-05,0,54.749,47.660,47.817
wuh2,2019-10-07,0,33.701,38.931,39.015
wuh2,2019-10-08,0,36.117,37.786,37.845
wuh2,2019-10-09,0,39.729,39.073,39.111
wuh2,2019-10-10,0,47.821,45.751,45.769
wuh2,2019-10-11,0,51.918,49.093,49.083
wuh2,2019-10-13,0,40.518,37.143,37.091
wuh2,2019-10-14,0,38.876,39.500,39.420
wuh2,2019-10-15,0,31.302,35.739,35.645
wuh2,2019-10-16,0,37.286,38.575,38.451
wuh2,2019-10-17,0,22.231,24.512,24.418
wuh2,2019-10-18,0,12.647,16.212,16.140
wuh2,2019-10-20,0,13.975,11.532,11.467
wuh2,2019-10-22,0,29.842,23.307,23.146
wuh2,2019-10-23,0,27.217,23.340,23.164
wuh2,2019-10-24,0,20.150,22.200,22.019
wuh2,2019-10-25,0,34.728,34.513,34.209
wuh2,2019-10-26,0,32.243,32.889,32.579
wuh2,2019-10-27,0,29.222,31.759,31.439
wuh2,2019-10-28,0,13.553,14.759,14.601
wuh2,2019-10-29,0,14.697,12.236,12.098
wuh2,2019-10-30,0,5.735,13.721,13.558
wuh2,2019-10-31,0,9.561,11.998,11.847
wuh2,2019-11-01,0,21.423,14.769,14.798
wuh2,2019-11-03,0,15.114,13.536,13.546
wuh2,2019-11-04,0,15.770,16.293,16.295
wuh2,2019-11-05,0,17.974,18.097,18.088
wuh2,2019-11-06,0,22.676,22.730,22.705
wuh2,2019-11-07,0,16.306,19.021,18.988
wuh2,2019-11-08,0,15.526,17.288,17.247
wuh2,2019-11-09,0,17.500,14.338,14.296
wuh2,2019-11-10,0,17.982,11.399,11.358
wuh2,2019-11-12,0,27.748,29.746,29.604
wuh2,2019-11-13,0,29.708,26.496,26.353
wuh2,2019-11-14,0,3.857,9.570,9.512
wuh2,2019-11-15,0,12.198,8.190,8.137
wuh2,2019-11-16,0,32.485,22.991,22.827
wuh2,2019-11-17,0,36.799,33.196,32.940
wuh2,2019-11-18,0,19.500,20.211,20.044
wuh2,2019-11-20,0,14.976,15.211,15.068
wuh2,2019-11-21,0,21.753,22.745,22.519
wuh2,2019-11-22,0,11.973,18.856,18.658
wuh2,2019-11-23,0,26.111,24.169,23.902
wuh2,2019-11-25,0,24.085,31.245,30.868
wuh2,2019-11-26,0,24.994,31.100,30.708
wuh2,2019-11-27,0,24.164,30.930,30.525
wuh2,2019-11-29,0,19.186,18.894,18.629
wuh2,2019-11-30,0,25.550,25.225,24.858
wuh2,2019-12-01,0,20.214,20.428,20.427
wuh2,2019-12-02,0,6.053,13.079,13.072
wuh2,2019-12-04,0,9.401,12.108,12.091
wuh2,2019-12-05,0,4.648,10.682,10.662
wuh2,2019-12-06,0,9.934,11.534,11.508
wuh2,2019-12-07,0,6.229,11.936,11.903
wuh2,2019-12-08,0,7.497,13.048,13.007
wuh2,2019-12-09,0,4.030,10.965,10.926
wuh2,2019-12-10,0,4.571,8.601,8.567
wuh2,2019-01-01,12,17.897,20.453,20.414
wuh2,2019-01-03,12,20.032,21.351,21.306
wuh2,2019-01-04,12,13.906,15.567,15.533
wuh2,2019-01-05,12,10.997,10.457,10.433
wuh2,2019-01-06,12,14.821,16.697,16.657
wuh2,2019-01-07,12,11.663,13.219,13.187
wuh2,2019-01-08,12,26.821,27.877,27.809
wuh2,2019-01-09,12,21.097,19.950,19.900
wuh2,2019-01-10,12,20.057,17.597,17.553
wuh2,2019-01-11,12,14.069,10.735,10.707
wuh2,2019-01-13,12,15.615,16.139,16.098
wuh2,2019-01-14,12,19.506,18.689,18.642
wuh2,2019-01-15,12,11.685,13.714,13.680
wuh2,2019-01-16,12,8.168,6.449,6.434
wuh2,2019-01-17,12,8.359,6.320,6.305
wuh2,2019-01-18,12,13.097,11.594,11.568
wuh2,2019-01-19,12,15.557,12.811,12.783
wuh2,2019-01-20,12,9.204,11.131,11.108
wuh2,2019-01-21,12,7.677,6.441,6.428
wuh2,2019-01-22,12,5.350,1.356,1.353
wuh2,2019-01-23,12,8.845,2.844,2.839
wuh2,2019-01-24,12,13.637,10.999,10.981
wuh2,2019-01-25,12,12.271,13.831,13.811
wuh2,2019-01-26,12,14.007,14.871,14.852
wuh2,2019-01-27,12,18.233,15.638,15.620
wuh2,2019-01-28,12,19.144,19.193,19.174
wuh2,2019-01-29,12,26.136,22.734,22.716
wuh2,2019-01-30,12,27.411,23.054,23.040
wuh2,2019-02-01,12,15.691,13.032,12.977
wuh2,2019-02-02,12,21.843,17.859,17.787
wuh2,2019-02-03,12,9.461,8.271,8.240
wuh2,2019-02-04,12,15.472,12.785,12.740
wuh2,2019-02-05,12,13.638,8.880,8.851
wuh2,2019-02-06,12,29.332,20.884,20.821
wuh2,2019-02-07,12,27.172,24.060,23.994
wuh2,2019-02-08,12,21.669,20.812,20.761
wuh2,2019-02-09,12,17.064,19.043,19.002
wuh2,2019-02-10,12,16.581,18.087,18.054
wuh2,2019-02-11,12,19.226,16.907,16.881
wuh2,2019-02-12,12,13.994,17.330,17.309
wuh2,2019-02-13,12,19.474,19.972,19.954
wuh2,2019-02-14,12,21.861,22.055,22.042
wuh2,2019-02-15,12,21.422,21.491,21.486
wuh2,2019-02-16,12,15.037,17.174,17.176
wuh2,2019-02-17,12,23.063,21.787,21.797
wuh2,2019-02-18,12,20.100,19.194,19.209
wuh2,2019-02-21,12,20.962,20.423,20.462
wuh2,2019-02-22,12,13.052,12.746,12.776
wuh2,2019-02-23,12,14.232,14.453,14.492
wuh2,2019-02-24,12,18.664,15.672,15.721
wuh2,2019-02-25,12,17.013,17.226,17.286
wuh2,2019-02-26,12,21.059,20.048,20.126
wuh2,2019-02-27,12,18.252,17.878,17.955
wuh2,2019-02-28,12,21.852,20.482,20.579
wuh2,2019-03-01,12,26.381,26.166,25.893
wuh2,2019-03-02,12,16.125,15.871,15.712
wuh2,2019-03-03,12,10.212,8.119,8.041
wuh2,2019-03-04,12,17.159,14.380,14.248
wuh2,2019-03-05,12,25.669,22.757,22.558
wuh2,2019-03-06,12,15.396,12.516,12.412
wuh2,2019-03-07,12,12.252,12.589,12.490
wuh2,2019-03-08,12,19.132,17.907,17.774
wuh2,2019-03-09,12,15.832,14.494,14.393
wuh2,2019-03-10,12,9.709,7.646,7.596
wuh2,2019-03-11,12,13.093,9.644,9.585
wuh2,2019-03-12,12,8.131,5.095,5.067
wuh2,2019-03-13,12,26.763,25.839,25.706
wuh2,2019-03-14,12,13.981,14.881,14.811
wuh2,2019-03-15,12,11.953,9.882,9.840
wuh2,2019-03-16,12,12.749,11.576,11.532
wuh2,2019-03-17,12,26.980,26.739,26.651
wuh2,2019-03-18,12,16.429,11.707,11.674
wuh2,2019-03-19,12,36.853,33.158,33.080
wuh2,2019-03-20,12,27.052,16.447,16.416
wuh2,2019-03-21,12,28.971,26.591,26.554
wuh2,2019-03-22,12,24.799,26.208,26.184
wuh2,2019-03-23,12,14.510,16.497,16.490
wuh2,2019-03-24,12,24.805,25.094,25.095
wuh2,2019-03-25,12,12.842,11.500,11.506
wuh2,2019-03-26,12,28.436,22.559,22.581
wuh2,2019-03-27,12,24.480,24.540,24.576
wuh2,2019-03-28,12,26.675,20.615,20.656
wuh2,2019-03-29,12,23.070,18.254,18.299
wuh2,2019-03-30,12,22.748,23.318,23.387
wuh2,2019-03-31,12,15.380,14.877,14.928
wuh2,2019-04-01,12,18.161,15.367,15.170
wuh2,2019-04-05,12,22.036,14.826,14.664
wuh2,2019-04-06,12,17.602,14.914,14.759
wuh2,2019-04-07,12,20.134,17.401,17.228
wuh2,2019-04-08,12,42.343,33.643,33.324
wuh2,2019-04-09,12,30.909,31.901,31.614
wuh2,2019-04-10,12,34.795,33.186,32.903
wuh2,2019-04-11,12,15.098,15.695,15.568
wuh2,2019-04-12,12,17.649,18.529,18.389
wuh2,2019-04-13,12,31.509,30.169,29.955
wuh2,2019-04-14,12,19.566,19.206,19.078
wuh2,2019-04-16,12,15.778,10.983,10.920
wuh2,2019-04-17,12,21.448,12.011,11.948
wuh2,2019-04-19,12,37.902,34.073,33.926
wuh2,2019-04-20,12,49.011,42.736,42.572
wuh2,2019-04-21,12,41.932,39.352,39.219
wuh2,2019-04-22,12,40.844,39.978,39.861
wuh2,2019-04-23,12,36.128,34.242,34.157
wuh2,2019-04-24,12,44.172,36.466,36.393
wuh2,2019-04-25,12,32.227,30.017,29.970
wuh2,2019-04-26,12,32.568,34.198,34.160
wuh2,2019-04-27,12,36.494,37.513,37.488
wuh2,2019-04-28,12,47.122,49.855,49.845
wuh2,2019-04-29,12,40.415,40.063,40.072
wuh2,2019-04-30,12,33.323,29.540,29.560
wuh2,2019-05-01,12,20.590,16.731,16.510
wuh2,2019-05-02,12,28.769,23.726,23.422
wuh2,2019-05-03,12,25.891,23.511,23.220
wuh2,2019-05-04,12,37.672,33.564,33.164
wuh2,2019-05-05,12,39.273,35.613,35.203
wuh2,2019-05-06,12,29.689,31.333,30.985
wuh2,2019-05-07,12,30.257,31.442,31.107
wuh2,2019-05-08,12,26.436,21.323,21.105
wuh2,2019-05-09,12,32.688,27.619,27.348
wuh2,2019-05-10,12,28.320,21.402,21.201
wuh2,2019-05-11,12,29.476,24.970,24.746
wuh2,2019-05-12,12,47.706,44.821,44.436
wuh2,2019-05-13,12,25.000,40.444,40.114
wuh2,2019-05-14,12,55.477,54.743,54.318
wuh2,2019-05-15,12,46.103,46.602,46.258
wuh2,2019-05-16,12,54.117,49.320,48.976
wuh2,2019-05-18,12,61.288,56.018,55.672
wuh2,2019-05-19,12,51.751,47.175,46.901
wuh2,2019-05-20,12,24.041,23.064,22.939
wuh2,2019-05-21,12,28.782,24.892,24.767
wuh2,2019-05-22,12,19.020,12.563,12.504
wuh2,2019-05-23,12,19.989,10.201,10.157
wuh2,2019-05-24,12,46.694,42.971,42.803
wuh2,2019-05-25,12,67.433,60.787,60.573
wuh2,2019-05-27,12,34.400,30.507,30.422
wuh2,2019-05-28,12,37.879,37.985,37.893
wuh2,2019-05-29,12,49.951,48.699,48.599
wuh2,2019-05-30,12,47.022,47.439,47.358
wuh2,2019-05-31,12,40.054,38.563,38.511
wuh2,2019-06-01,12,39.635,36.867,36.307
wuh2,2019-06-02,12,24.025,21.079,20.766
wuh2,2019-06-03,12,37.098,27.841,27.437
wuh2,2019-06-05,12,64.504,61.493,60.641
wuh2,2019-06-06,12,42.492,40.808,40.256
wuh2,2019-06-07,12,47.236,44.730,44.139
wuh2,2019-06-08,12,59.810,51.986,51.316
wuh2,2019-06-09,12,49.290,42.083,41.553
wuh2,2019-06-10,12,46.019,43.894,43.356
wuh2,2019-06-11,12,45.356,41.625,41.127
wuh2,2019-06-12,12,55.285,50.819,50.226
wuh2,2019-06-13,12,43.541,39.333,38.886
wuh2,2019-06-14,12,31.997,21.987,21.744
wuh2,2019-06-15,12,38.385,33.741,33.377
wuh2,2019-06-16,12,62.287,62.033,61.381
wuh2,2019-06-17,12,66.040,72.717,71.974
wuh2,2019-06-18,12,66.974,68.980,68.294
wuh2,2019-06-19,12,66.613,66.802,66.156
wuh2,2019-06-20,12,76.147,73.354,72.664
wuh2,2019-06-21,12,68.314,72.416,71.754
wuh2,2019-06-22,12,57.015,54.603,54.117
wuh2,2019-06-23,12,38.943,33.258,32.971
wuh2,2019-06-24,12,44.091,41.800,41.449
wuh2,2019-06-25,12,45.933,46.516,46.136
wuh2,2019-06-26,12,51.496,43.781,43.434
wuh2,2019-06-27,12,64.387,59.871,59.410
wuh2,2019-06-28,12,55.266,74.160,73.606
wuh2,2019-06-29,12,69.995,67.202,66.715
wuh2,2019-06-30,12,53.414,50.328,49.974
wuh2,2019-07-01,12,42.449,36.895,36.341
wuh2,2019-07-02,12,48.792,41.467,40.853
wuh2,2019-07-03,12,54.936,47.713,47.016
wuh2,2019-07-04,12,66.495,58.389,57.546
wuh2,2019-07-05,12,49.301,46.210,45.552
wuh2,2019-07-06,12,40.325,33.714,33.240
wuh2,2019-07-07,12,39.533,36.460,35.953
wuh2,2019-07-08,12,59.399,59.794,58.973
wuh2,2019-07-09,12,50.278,49.476,48.805
wuh2,2019-07-10,12,46.484,43.125,42.546
wuh2,2019-07-11,12,54.397,51.351,50.670
wuh2,2019-07-12,12,65.588,66.218,65.348
wuh2,2019-07-13,12,45.305,40.482,39.955
wuh2,2019-07-14,12,36.814,31.744,31.336
wuh2,2019-07-15,12,50.891,51.199,50.545
wuh2,2019-07-16,12,64.050,62.833,62.038
wuh2,2019-07-17,12,78.098,72.667,71.755
wuh2,2019-07-18,12,73.050,74.145,73.222
wuh2,2019-07-19,12,57.762,52.162,51.517
wuh2,2019-07-20,12,64.238,56.575,55.880
wuh2,2019-07-21,12,63.425,58.547,57.833
wuh2,2019-07-22,12,65.175,65.879,65.080
wuh2,2019-07-23,12,73.729,70.083,69.236
wuh2,2019-07-24,12,81.869,67.894,67.078
wuh2,2019-07-25,12,59.378,60.160,59.440
wuh2,2019-07-26,12,61.671,56.722,56.045
wuh2,2019-07-27,12,63.244,55.877,55.212
wuh2,2019-07-28,12,57.371,57.469,56.785
wuh2,2019-07-29,12,64.940,65.768,64.986
wuh2,2019-07-30,12,57.775,59.633,58.925
wuh2,2019-07-31,12,58.339,57.718,57.032
wuh2,2019-08-01,12,56.608,50.687,50.193
wuh2,2019-08-02,12,62.330,57.025,56.468
wuh2,2019-08-03,12,58.636,57.172,56.612
wuh2,2019-08-04,12,56.097,50.282,49.787
wuh2,2019-08-05,12,57.012,49.677,49.187
wuh2,2019-08-06,12,62.544,54.163,53.625
wuh2,2019-08-07,12,63.087,57.895,57.316
wuh2,2019-08-08,12,66.294,59.612,59.012
wuh2,2019-08-09,12,63.728,51.565,51.041
wuh2,2019-08-10,12,64.719,57.320,56.733
wuh2,2019-08-11,12,50.698,42.220,41.783
wuh2,2019-08-12,12,47.902,40.636,40.211
wuh2,2019-08-13,12,58.401,52.506,51.950
wuh2,2019-08-14,12,53.899,46.499,46.001
wuh2,2019-08-16,12,35.023,23.156,22.902
wuh2,2019-08-17,12,55.559,50.171,49.612
wuh2,2019-08-18,12,52.003,38.828,38.388
wuh2,2019-08-19,12,42.662,39.990,39.531
wuh2,2019-08-20,12,49.845,43.979,43.466
wuh2,2019-08-21,12,52.930,48.597,48.021
wuh2,2019-08-22,12,62.263,60.764,60.031
wuh2,2019-08-23,12,65.012,60.545,59.802
